  9809     SPring-8 14b2 
 Cu-K_Cu-foil_S  14.06.25 17:41 - 14.06.25 17:45
 Cu-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 26.09900 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4577
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       26.00000  21.10000    -0.001070       0.05      4577
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   134.300   117.200
  25.41899  25.41792     0.050      1952      9235
  25.41792  25.41672     0.050      1952      9240
  25.41685  25.41554     0.050      1953      9243
  25.41578  25.41442     0.050      1954      9249
  25.41471  25.41336     0.050      1949      9236
  25.41364  25.41238     0.050      1953      9251
  25.41257  25.41146     0.050      1959      9274
  25.41150  25.41052     0.050      1955      9267
  25.41043  25.40950     0.050      1953      9252
  25.40936  25.40834     0.050      1961      9288
  25.40829  25.40715     0.050      1959      9287
  25.40722  25.40597     0.050      1957      9272
  25.40615  25.40482     0.050      1959      9290
  25.40508  25.40374     0.050      1962      9308
  25.40401  25.40273     0.050      1963      9302
  25.40294  25.40180     0.050      1960      9295
  25.40187  25.40087     0.050      1967      9326
  25.40080  25.39989     0.050      1964      9320
  25.39973  25.39878     0.050      1964      9318
  25.39866  25.39758     0.050      1967      9330
  25.39759  25.39638     0.050      1968      9346
  25.39652  25.39521     0.050      1967      9333
  25.39545  25.39411     0.050      1969      9355
  25.39438  25.39307     0.050      1971      9361
  25.39331  25.39212     0.050      1969      9349
  25.39224  25.39120     0.050      1968      9348
  25.39117  25.39023     0.050      1975      9374
  25.39010  25.38916     0.050      1977      9387
  25.38903  25.38797     0.050      1969      9369
  25.38796  25.38676     0.050      1977      9394
  25.38689  25.38558     0.050      1977      9403
  25.38582  25.38446     0.050      1975      9387
  25.38475  25.38340     0.050      1976      9385
  25.38368  25.38242     0.050      1979      9417
  25.38261  25.38151     0.050      1976      9401
  25.38154  25.38057     0.050      1979      9405
  25.38047  25.37955     0.050      1982      9437
