  9809     SPring-8 14b2 
 Pb-L21_PbTe_Si  21.02.10 08:03 - 21.02.10 08:09
 PbTe                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 14.92483 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6727
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.74500  12.58000    -0.000330       0.05      6727
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   229.200   251.100   177.000
  14.65062  14.66854     0.050     29817     26444      3410
  14.65029  14.66825     0.050     29809     26451      3414
  14.64996  14.66798     0.050     29787     26428      3410
  14.64963  14.66770     0.050     29741     26388      3406
  14.64930  14.66742     0.050     29730     26388      3405
  14.64897  14.66713     0.050     29706     26380      3403
  14.64864  14.66682     0.050     29712     26384      3405
  14.64831  14.66647     0.050     29709     26383      3404
  14.64798  14.66611     0.050     29707     26369      3405
  14.64765  14.66574     0.050     29724     26403      3409
  14.64732  14.66537     0.050     29734     26422      3415
  14.64699  14.66502     0.050     29735     26425      3412
  14.64666  14.66468     0.050     29780     26459      3417
  14.64633  14.66434     0.050     29787     26469      3419
  14.64600  14.66400     0.050     29807     26490      3423
  14.64567  14.66364     0.050     29816     26505      3425
  14.64534  14.66328     0.050     29800     26494      3425
  14.64501  14.66293     0.050     29808     26501      3427
  14.64468  14.66258     0.050     29796     26496      3426
  14.64435  14.66226     0.050     29798     26499      3428
  14.64402  14.66195     0.050     29817     26523      3428
  14.64369  14.66163     0.050     29816     26515      3428
  14.64336  14.66132     0.050     29797     26517      3428
  14.64303  14.66100     0.050     29826     26523      3429
  14.64270  14.66068     0.050     29790     26520      3431
  14.64237  14.66037     0.050     29750     26478      3425
  14.64204  14.66008     0.050     29798     26527      3433
  14.64171  14.65981     0.050     29779     26508      3433
  14.64138  14.65955     0.050     29760     26491      3428
  14.64105  14.65929     0.050     29765     26500      3430
  14.64072  14.65903     0.050     29800     26529      3433
  14.64039  14.65876     0.050     29783     26517      3435
  14.64006  14.65848     0.050     29748     26495      3432
  14.63973  14.65820     0.050     29781     26534      3436
  14.63940  14.65792     0.050     29767     26507      3437
  14.63907  14.65764     0.050     29754     26530      3437
  14.63874  14.65736     0.050     29786     26549      3437
  14.63841  14.65706     0.050     29780     26538      3438
  14.63808  14.65674     0.050     29792     26563      3442
  14.63775  14.65640     0.050     29763     26532      3437
  14.63742  14.65603     0.050     29789     26549      3440
  14.63709  14.65565     0.050     29754     26540      3437
  14.63676  14.65528     0.050     29753     26556      3440
  14.63643  14.65494     0.050     29779     26574      3444
  14.63610  14.65460     0.050     29748     26532      3439
  14.63577  14.65427     0.050     29745     26540      3438
  14.63544  14.65392     0.050     29759     26559      3444
  14.63511  14.65356     0.050     29756     26567      3443
  14.63478  14.65320     0.050     29722     26540      3441
  14.63445  14.65284     0.050     29719     26536      3445
  14.63412  14.65250     0.050     29754     26545      3445
  14.63379  14.65218     0.050     29701     26522      3446
  14.63346  14.65187     0.050     29696     26527      3441
  14.63313  14.65156     0.050     29687     26513      3444
  14.63280  14.65124     0.050     29645     26486      3443
  14.63247  14.65093     0.050     29595     26454      3433
  14.63214  14.65061     0.050     29480     26346      3421
  14.63181  14.65031     0.050     29260     26159      3398
  14.63148  14.65002     0.050     28945     25881      3363
  14.63115  14.64975     0.050     28598     25570      3322
  14.63082  14.64949     0.050     28183     25207      3273
  14.63049  14.64924     0.050     27556     24634      3204
  14.63016  14.64897     0.050     26960     24098      3130
  14.62983  14.64870     0.050     26748     23917      3105
  14.62950  14.64842     0.050     26839     24007      3120
  14.62917  14.64814     0.050     27000     24182      3142
  14.62884  14.64785     0.050     27341     24472      3181
  14.62851  14.64757     0.050     27718     24811      3227
  14.62818  14.64730     0.050     28065     25112      3268
  14.62785  14.64700     0.050     28602     25606      3334
  14.62752  14.64667     0.050     29191     26135      3400
  14.62719  14.64632     0.050     29573     26467      3445
  14.62686  14.64594     0.050     29686     26577      3462
  14.62653  14.64556     0.050     29725     26623      3464
